time,CO2air,CO2top
645,373.819039950258,373.8187333025958
646,373.82039695779406,373.82019720145746
647,373.82128254186824,373.82115254856984
648,373.8218604752392,373.82177601399104
649,373.82223763561507,373.82218290264944
650,373.8224837737269,373.8224484371327
651,373.5016181707057,373.5472084742106
652,373.30024389319294,373.33006276460685
653,373.16866200434157,373.1881507503894
654,373.08268155883826,373.09541434309483
655,373.0264976719062,373.03481959992706
656,372.98978494457174,372.99522313745865
657,372.9657952851062,372.9693487986671
658,372.95011934733384,372.952441648491
659,372.93987602774416,372.9413936655546
660,372.93318256930263,372.9341746306372
661,372.9288088048703,372.9294572281224
662,372.9259507761453,372.9263748047737
663,372.924083220759,372.92436060610135
664,372.9228628837666,372.92304442200907
665,372.92206546115375,372.9221843787931
666,372.9215443929136,372.92162238197926
667,372.92120390530715,372.9212551401955
668,372.9209814141242,372.9210151788701
669,372.92083602800506,372.9208583746692
670,372.92074102797756,372.92075591107687
671,372.92067895074456,372.9206889568207
672,372.92063838770235,372.9206452094102
673,372.920611882235,372.92061662205407
674,372.92059456350086,372.9205979441573
675,372.92058324621115,372.9205857378564
676,372.920575852597,372.9205777656043
677,372.92057102258656,372.9205725577695
678,373.2423617316026,373.1967278491571
679,373.76516874000254,373.68986858112754
680,374.4178708385222,374.32343103778095
681,374.834464208615,374.7729649180321
682,375.1056271631693,375.0656038903099
683,375.28213323793483,375.2560843160692
684,375.0780902110968,375.10630131392537
685,374.9533217659665,374.97173979787897
686,374.87200909936803,374.8840115119714
687,374.81901280335796,374.82683592588734
688,374.7844724201669,374.7895698451697
689,374.761960214982,374.7652835699637
690,374.74728785889437,374.74945475258266
691,374.7377251509926,374.73913792833287
692,374.73149259138233,374.7324140336329
693,374.72743056031777,374.7280313422888
694,375.0441868163682,374.99938302695836
695,375.2421482409066,375.21295302748774
696,375.370998792877,375.35199405609103
697,375.77331001485595,375.7159153043735
698,376.02664921424645,375.98931676018645
699,376.19133534656703,376.16706710102847
700,376.2983938265208,376.2826211798344
701,376.3679904962906,376.35773874519026
702,376.6035862747494,376.5700275896246
703,377.44798838853643,377.32790955670635
704,378.29215611130326,378.1699188137569
705,379.14414007095763,379.0207392938465
706,379.68649939981964,379.60672864127616
707,380.0368973674251,379.98536087926453
708,380.63775029062253,380.5516687021863
709,381.01572592771396,380.960165448229
710,381.25954511072774,381.2237059838295
711,381.4168290504431,381.3937055898917
712,381.51828907239303,381.50337446666
713,381.58373917765164,381.57411996568425
714,381.62595996742095,381.61975616335377
715,381.65319570679617,381.6491964000137
716,381.6707651844306,381.6681865512161
717,381.3714740891437,381.413649648308
718,380.87486518286977,380.94610495870205
719,380.4369003196063,380.50062854289064
720,380.1567132361015,380.19796058699274
721,380.28788231562237,380.27045937306093
722,380.3646235053607,380.35333403451887
723,380.4142117231657,380.4069149157424
724,380.7581129920426,380.7093878595469
725,380.9720555008644,380.9405834178134
726,381.11013268323035,381.08982192573745
727,380.8879847127525,380.9188159693783
728,380.7524261291706,380.7723820563245
729,380.6648274584272,380.6777243790692
730,380.2961749842524,380.3485838061163
